Date	Sales	StoreID	
10/27/2015	$8.20 	521	
4/12/2014	$29.30 	555	
6/27/2014	$68.00 	500	
1/23/2015	$74.70 	555	
9/19/2014	$184.30 	578	
9/15/2015	$161.80 	555	
3/11/2014	$121.70 	532	
9/14/2014	$215.90 	532	
11/13/2014	$91.80 	532	
1/12/2014	$84.10 	521	
1/17/2014	$172.40 	532	
1/31/2015	$94.70 	532	
11/29/2014	$109.00 	578	
10/23/2014	$223.30 	521	
2/1/2015	$67.60 	521	
12/26/2015	$47.70 	555	
7/11/2015	$174.80 	500	
6/22/2015	$47.40 	555	
3/17/2015	$243.40 	578	
9/3/2014	$154.70 	500	
11/22/2014	$119.10 	532	
2/23/2015	$99.10 	521	
8/19/2015	$184.00 	500	
9/19/2015	$154.80 	578	
7/25/2014	$42.80 	521	
6/18/2014	$97.60 	532	
1/11/2015	$5.90 	532	
7/14/2015	$37.10 	555	
7/19/2015	$159.90 	532	
12/1/2014	$8.50 	532	
8/17/2015	$14.40 	578	
6/22/2015	$47.00 	555	
6/8/2014	$107.20 	521	
5/18/2014	$50.80 	532	
4/23/2015	$245.70 	578	
9/3/2014	$149.00 	578	
11/8/2014	$130.90 	555	
7/15/2015	$32.00 	578	
2/1/2015	$21.60 	521	
10/4/2015	$97.40 	521	
5/12/2014	$30.70 	521	
1/24/2015	$159.00 	555	
10/10/2014	$102.90 	555	
4/12/2014	$232.00 	532	
6/21/2014	$139.20 	521	
2/16/2014	$181.30 	500	
11/22/2014	$172.00 	500	
5/22/2015	$239.40 	578	
9/26/2014	$225.00 	555	
9/3/2015	$231.70 	578	
11/1/2015	$64.60 	521	
11/15/2015	$105.70 	521	
6/28/2015	$90.20 	521	
7/24/2014	$42.50 	555	
3/8/2014	$175.60 	532	
12/16/2015	$172.00 	555	
2/14/2014	$214.80 	500	
7/22/2015	$52.80 	500	
8/29/2015	$49.60 	578	
3/13/2015	$193.20 	555	
8/25/2015	$185.60 	500	
8/12/2015	$150.50 	521	
10/8/2015	$185.30 	532	
1/20/2014	$231.50 	578	
